epoch	train_loss	val_loss	train_subclass_acc	val_subclass_acc	train_group_acc	val_group_acc	train_qc_recall	val_qc_recall	train_qc_precision	val_qc_precision	train_qc_f1	val_qc_f1
67	0.76813686	0.75242388	62.29343798	62.97716577	73.30499237	72.27645111	58.78223714	69.82916412	55.42047335	52.69337017	57.05187544	60.06297560
68	0.76808289	0.73206203	62.59428821	63.01202719	73.56660126	73.00854105	59.15611170	53.99633923	55.74890343	54.22794118	57.40199163	54.11189239
69	0.76356516	0.74749580	62.53324613	63.52623322	73.31807281	72.94753355	57.54616206	67.48017084	55.46403883	53.72844304	56.48591971	59.82420554
70	0.75983606	0.75493685	62.97798125	63.22119575	73.73446697	74.18511417	59.86571036	59.94508847	55.87125258	56.89056167	57.79955063	58.37789661
71	0.75767515	0.74358608	63.01940266	63.52623322	73.69958579	73.48788565	59.91149092	61.92800488	55.82255083	55.54035568	57.79478875	58.56050772
72	0.75784912	0.73973736	63.11096577	64.31933066	73.69304556	75.15251874	59.22478254	57.29103112	55.90205257	58.92689049	57.51546812	58.09744780
73	0.75590966	0.72723520	63.22432963	64.60693742	73.88707216	74.03695311	58.49229361	64.06345333	56.48393752	55.79171095	57.47057501	59.64214712
74	0.74936539	0.71651500	63.27447133	65.65278020	73.78896882	75.81488583	59.54524645	50.42708969	56.06321839	61.70212766	57.75179457	55.49773376
75	0.74953860	0.70685150	63.28755178	65.57434199	74.05057772	75.93690082	58.91194873	52.77608298	56.43180822	61.19561372	57.64521428	56.67485667
76	0.74470300	0.73239727	63.85873120	63.27348789	74.51929366	72.19801290	58.62200519	65.95485052	57.42152466	52.53948967	58.01555539	58.48775869
77	0.74567020	0.74111242	63.74754742	64.27575388	74.46043165	74.98692697	59.10270105	52.56253813	57.33955141	59.47531930	58.20777757	55.80566802
78	0.74366936	0.73328019	63.76062786	64.58950671	74.36450839	74.00209169	59.21715245	62.59914582	57.11657345	55.59468979	58.14789840	58.88936720
79	0.73935867	0.72674361	64.08327883	64.84225205	74.71114018	75.50984835	59.44605524	48.23062843	57.77102180	62.21959858	58.59657040	54.33923355
80	0.73819944	0.71756594	63.93067364	65.51333450	74.25332461	76.05020045	59.80466962	57.16900549	56.83004640	60.82440766	58.27942598	58.94008492
81	0.73775328	0.71913710	64.03095705	64.98169775	74.58033573	72.96496427	59.25530291	71.23245882	57.61127596	53.28617070	58.42172572	60.96605744
