gauss	poisson	dropout	n_test	slope_rmse	slope_mae	slope_median_ae	slope_mean_bias	slope_mean_post_std	slope_cov50	slope_cov70	slope_cov90	slope_cov95	acceptance_window_rmse	acceptance_window_mae	acceptance_window_median_ae	acceptance_window_mean_bias	acceptance_window_mean_post_std	acceptance_window_cov50	acceptance_window_cov70	acceptance_window_cov90	acceptance_window_cov95	joint_rmse
0.2	0.1	0.1	100	0.343411	0.131458	0.048045	-0.028166	0.287568	0.2300	0.3100	0.4500	0.6500	0.085425	0.063355	0.044394	0.058919	0.234455	0.3200	0.3900	0.5400	0.6500	0.353877
0.2	0.1	0.2	100	0.338899	0.166814	0.056978	0.011908	0.332682	0.4100	0.5400	0.7800	0.8200	0.045447	0.035021	0.029051	0.014440	0.219602	0.4800	0.6700	0.9300	0.9700	0.341932
0.2	0.1	0.3	100	0.827863	0.568778	0.371852	-0.277077	0.584165	0.2400	0.4600	0.7400	0.8100	0.292236	0.252667	0.243659	-0.252667	0.216964	0.0000	0.0000	0.0300	0.0300	0.877928
0.2	0.2	0.0	100	0.525900	0.198432	0.046040	-0.098554	0.284599	0.2300	0.4300	0.6100	0.6600	0.104075	0.077083	0.058058	0.075568	0.226173	0.1300	0.2500	0.4400	0.5800	0.536099
0.2	0.2	0.1	100	0.603045	0.279611	0.072695	-0.125670	0.357821	0.2200	0.3300	0.5100	0.7100	0.140110	0.109644	0.087808	0.104986	0.245621	0.1900	0.3000	0.4600	0.5800	0.619108
0.2	0.2	0.2	100	0.511760	0.280705	0.121586	-0.104150	0.429045	0.3200	0.5300	0.7600	0.8200	0.103314	0.086938	0.076582	0.075217	0.228271	0.2000	0.3000	0.5300	0.8100	0.522084
0.2	0.2	0.3	100	0.663330	0.442093	0.238689	-0.094125	0.512254	0.3600	0.5100	0.7200	0.8100	0.217094	0.179699	0.154090	-0.179699	0.242694	0.0000	0.0300	0.1500	0.1800	0.697951
0.2	0.3	0.0	100	0.657469	0.339767	0.142427	-0.124537	0.343976	0.2300	0.3500	0.4900	0.5900	0.202876	0.167246	0.132313	0.166515	0.231078	0.0000	0.0200	0.0600	0.0800	0.688058
0.2	0.3	0.1	100	0.726994	0.418639	0.231754	-0.137579	0.393494	0.2200	0.3000	0.5000	0.5700	0.240779	0.201675	0.186822	0.199034	0.230233	0.0000	0.0200	0.1200	0.1700	0.765829
0.2	0.3	0.2	100	0.675039	0.345038	0.116690	-0.156438	0.425326	0.2900	0.4200	0.6300	0.7500	0.174003	0.146356	0.147833	0.142544	0.229449	0.0700	0.1600	0.3300	0.4700	0.697105
0.2	0.3	0.3	100	0.981602	0.585000	0.278601	-0.257741	0.513448	0.2100	0.4100	0.6400	0.7700	0.143795	0.104847	0.078107	-0.101612	0.234261	0.1900	0.2800	0.5700	0.6700	0.992079
0.3	0.0	0.0	100	0.708141	0.363928	0.113883	-0.230918	0.344573	0.2400	0.3600	0.4900	0.5200	0.065865	0.047643	0.035526	0.034671	0.202781	0.3500	0.4500	0.5900	0.6600	0.711197
0.3	0.0	0.1	100	0.558454	0.266227	0.111731	-0.100984	0.305928	0.2600	0.3200	0.5100	0.6700	0.086187	0.065043	0.048319	0.048889	0.235130	0.3300	0.4600	0.6500	0.7600	0.565065
0.3	0.0	0.2	100	0.706835	0.397743	0.180799	-0.087503	0.384739	0.2100	0.3400	0.6400	0.7100	0.083465	0.061154	0.044752	-0.052651	0.231826	0.3200	0.4900	0.7600	0.8900	0.711746
0.3	0.0	0.3	100	0.992129	0.686830	0.451683	-0.368941	0.576636	0.2600	0.4100	0.6300	0.7300	0.388679	0.344903	0.351738	-0.344903	0.214095	0.0000	0.0100	0.0100	0.0100	1.065547
